case_id,sample_id,component,graph_n_atoms,manifest_smiles,manifest_smiles_n_atoms,matched_smiles,matched_smiles_n_atoms,mapping_type,atomic_order_match,bond_match,status
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Cation,8,C(C)[N+]1=CN(C=C1)C,8,C(C)[N+]1=CN(C=C1)C,8,Direct_Manifest_SMILES,True,True,PASS
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Anion,4,CC(=O)[O-],4,CC(=O)[O-],4,Direct_Manifest_SMILES,True,True,PASS
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Refrigerant,7,C=C(F)C(F)(F)F,7,C=C(F)C(F)(F)F,7,Direct_Manifest_SMILES,True,True,PASS
Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Cation,8,C(C)[N+]1=CN(C=C1)C,8,C(C)[N+]1=CN(C=C1)C,8,Direct_Manifest_SMILES,True,True,PASS
Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Anion,5,F[B-](F)(F)F,5,F[B-](F)(F)F,5,Direct_Manifest_SMILES,True,True,PASS
Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Refrigerant,7,C=C(F)C(F)(F)F,7,C=C(F)C(F)(F)F,7,Direct_Manifest_SMILES,True,True,PASS
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Cation,10,C(CCC)[N+]1=CN(C=C1)C,10,C(CCC)[N+]1=CN(C=C1)C,10,Direct_Manifest_SMILES,True,True,PASS
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Anion,4,CC(=O)[O-],4,CC(=O)[O-],4,Direct_Manifest_SMILES,True,True,PASS
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Refrigerant,7,C=C(F)C(F)(F)F,7,C=C(F)C(F)(F)F,7,Direct_Manifest_SMILES,True,True,PASS
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Cation,10,C(CCC)[N+]1=CN(C=C1)C,10,C(CCC)[N+]1=CN(C=C1)C,10,Direct_Manifest_SMILES,True,True,PASS
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Anion,7,F[P-](F)(F)(F)(F)F,7,F[P-](F)(F)(F)(F)F,7,Direct_Manifest_SMILES,True,True,PASS
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Refrigerant,7,C=C(F)C(F)(F)F,7,C=C(F)C(F)(F)F,7,Direct_Manifest_SMILES,True,True,PASS
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,Cation,8,C(C)[N+]1=CN(C=C1)C,8,C(C)[N+]1=CN(C=C1)C,8,Direct_Manifest_SMILES,True,True,PASS
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,Anion,21,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,21,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,21,Direct_Manifest_SMILES,True,True,PASS
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,Refrigerant,6,FC(F)C(F)F,6,FC(F)C(F)F,6,Direct_Manifest_SMILES,True,True,PASS
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.0103,Cation,8,C(C)[N+]1=CN(C=C1)C,8,C(C)[N+]1=CN(C=C1)C,8,Direct_Manifest_SMILES,True,True,PASS
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.0103,Anion,21,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,21,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,21,Direct_Manifest_SMILES,True,True,PASS
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.0103,Refrigerant,6,C(C(F)(F)F)F,6,C(C(F)(F)F)F,6,Direct_Manifest_SMILES,True,True,PASS
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.123__0.05,Cation,8,C(C)[N+]1=CN(C=C1)C,8,C(C)[N+]1=CN(C=C1)C,8,Direct_Manifest_SMILES,True,True,PASS
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.123__0.05,Anion,21,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,21,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,21,Direct_Manifest_SMILES,True,True,PASS
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.123__0.05,Refrigerant,6,FC(F)C(F)F,6,FC(F)C(F)F,6,Direct_Manifest_SMILES,True,True,PASS
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.0504,Cation,8,C(C)[N+]1=CN(C=C1)C,8,C(C)[N+]1=CN(C=C1)C,8,Direct_Manifest_SMILES,True,True,PASS
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.0504,Anion,21,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,21,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,21,Direct_Manifest_SMILES,True,True,PASS
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.0504,Refrigerant,6,C(C(F)(F)F)F,6,C(C(F)(F)F)F,6,Direct_Manifest_SMILES,True,True,PASS
